"Country Code","Country",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,Afghanistan,1742.2759,1768.406,1705.131,1753.5663,2087.9986,1831.0734,1769.6709,1880.3535,3594.4183,2890.17,2367.9612,2570.4974,2478.9922,2694.9337,2616.0972,2544.589,2356.4335,2357.3334,2169.9473,2027.8588,2024.9356,1974.0617,1703.0768,1695.709,1970.3169,2283.0308,2286.2607,2158.4835,2112.5396,2164.8111,2426.0729,2362.0853,2389.8282,2583.4336,2854.836,3032.7879,3253.72898,2911.26601,3966.98296,5065.22831,6328.40393,6952.14013,7510.838,8235.94412,8716.53795,9241.20265,9900.00354
ALB,Albania,4434.4715,4425.4515,5037.3803,4639.7804,4855.8874,5020.364,5395.4812,5702.412,6417.608,7539.2964,7637.5345,6648.1895,6864.1711,7365.5847,7974.8193,7601.0934,7678.9484,7951.4136,7893.0274,7752.7522,6519.9876,4322.5437,2319.9873,2177.8938,2312.3375,2050.5607,2040.7362,1568.3144,1793.8087,3034.7402,3139.3439,3355.3139,3896.6241,4200.5901,4370.6991,4141.1947,4098.8123,4210.0569,4171.3291,3744.5471,4070.8652,4325.8164,4208.3562,4384.781005,4820.113618,4986.60953,5208.318524
DZA,Algeria,17630.593,20613.891,31329.112,42126.101,35927.029,32969.879,42586.386,47181.858,52330.898,53021.791,53221.895,50780.848,53001.418,55811.33,58386.313,66670.74,69830.84,67421.78,68363.27,68722.18,66215.27,70279.45,77329.46,77750.8,75098.31,77402.96,76394.01,75204.08,75549.82,78818.15,81326.82,80245.21,84212.84,90760.78,90108.89,95952.07,100974.06,103833.22,108351.37,112345.47,114809.61,120043.44,129767.45,133401.05,144537.06,155948.78,156220.56
AGO,Angola,8078.651,7719.152,9446.132,10293.583,10709.261,9881.838,6668.858,10781.4843,12833.061,12797.706,12924.044,11951.581,11503.011,11915.796,12026.312,12761.454,12894.326,13131.514,13577.138,13729.147,10402.427,10899.623,11191.072,11239.14,10669.141,11929.913,14364.409,15022.352,15511.842,16509.492,15160.184,14935.819,14769.995,16206.346,16299.174,14835.281,15758.688,16375.909,18636.866,20483.414,23221.073,23211.8,22746.802,24648.742,26835.565,29639.936,30566.933
AIA,Anguilla,2.168007,2.168037,2.26343,2.108606,2.34997,2.583666,2.434126,2.536697,2.901248,3.212671,4.412299,6.639478,7.018474,6.08854,5.800809,3.670465,3.154284,6.125576,5.796797,6.148149,6.113993,7.578981,7.902494,9.951718,13.130514,16.394958,16.212621,13.563363,12.448226,11.750386,15.530874,15.90896,10.857168,14.104474,13.470652,13.660578,12.811627,12.353922,15.267682,20.160164,24.003828,26.007863,25.662386,28.230048,28.657992,29.810226,30.261966
ATG,Antigua and Barbuda,147.565758,155.522072,196.853965,216.332771,181.013493,225.623816,188.288058,211.252358,199.572186,190.249744,188.005447,194.163685,239.457504,160.691031,192.115707,170.920781,188.435119,210.262981,242.261083,239.52514,243.71844,246.397689,245.205348,231.036629,248.269068,257.925585,262.13681,255.043311,251.046285,255.969771,277.896282,292.795301,284.37083,296.509775,309.810307,304.554342,303.034221,320.657102,321.805303,330.218188,351.624574,370.838751,372.172781,409.344539,415.540997,432.222555,438.763432
ARG,Argentina,87119.958,87456.562,88470.013,92628.024,92775.246,90844.415,95616.744,99007.947,99708.299,105113.228,102653.601,100668.832,98734.696,100822.664,98719.982,93289.389,104636.886,109442.889,114632.031,112355.269,106239.855,110620.96,113675.215,115290.815,122812.698,122760.101,134812.629,139030.473,142770.999,145921.443,143596.804,133706.262,126019.006,136286.477,153086.552,157826.733,168035.79,175047.05,187693.22,179493.96,187147.26,191313.2,190075.19,186234.68,197679.13,200389.23,200708.27
ARM,Armenia,10825.7316,10844.2732,11651.8982,12710.5083,13761.4801,15142.8864,15642.3584,16232.1643,16839.8804,17501.6969,18611.2781,19008.0647,19521.333,19616.1135,19705.1514,19939.052,20073.9734,20323.2872,20337.9601,19974.0067,20571.9904,21433.5242,10880.2497,5058.6103,2765.51082,3502.1016,2561.28,3318.518,3450.1615,3087.223,3550.9018,3617.1973,3087.0099,3460.0599,3726.0439,4433.0736,4471.7389,5172.4947,5681.4111,4541.5071,4121.3616,4712.557,4715.9055,4430.2712,4409.4424,4461.4296,4597.845
ABW,Aruba,10.565299,10.549536,10.77903,11.330715,12.342115,16.003566,86.987732,84.205096,246.24442,269.921437,291.262854,307.427955,339.071473,270.504397,302.834212,399.757305,287.658393,449.741905,385.388226,413.482461,417.966831,434.665486,461.698457,505.821965,510.298329,496.190821,61.256556,71.916407,114.875574,129.212412,218.726141,225.397785,219.662321,222.798757,208.672273,199.904283,198.626158,228.510733,215.715558,233.197824,278.407134,241.932743,243.378652,267.65417,271.702354,282.597449,286.870579
AUS,Australia,160028.53,161411.7,167305.85,176948.87,186084.9,192939.41,195731.52,208960.98,205436.36,211211.08,221423.52,222343.46,228635.36,216563.34,222522.57,236968.17,237431.85,248507.66,257354.57,272875.06,276218.11,278257.89,281584.25,285603.64,291368.11,301418.02,311401.49,321008.48,341168.74,350508.71,356572.55,369233.37,380034.91,389476.66,405350.82,410392.54,406549.11,426723.04,429618.64,434941.38,419015.14,426995.05,417773.68,413952.51,405096.55,419088.15,414988.7
AUT,Austria,52830.375,55068.545,57354.369,60616.202,58199.848,55933.93,61075.164,58366.182,60403.139,62823.531,60932.784,57670.244,55575.357,55547.815,57348.934,58753.872,57508.848,58112.86,56655.169,56634.196,61212.249,65034.24,59993.395,60039.03,60627.764,63605.691,67470.312,67056.211,67685.243,65805.01,66336.548,70999.95,72770.816,78070.104,79247.624,80324.827,77613.504,75474.075,76259.252,68660.617,75102.378,74387.252,73358.825,73734.069,70089.189,72643.859,73764.112
AZE,Azerbaijan,31978.9334,32010.9901,34442.1688,37375.1067,40267.3407,44720.9191,46730.9322,48984.5191,51367.5657,53784.2421,56914.2926,58760.033,60111.997,61999.933,63659.588,64783.815,67432.335,69871.572,70908.8884,71220.655,53171.246,51944.2011,41788.2995,36698.9518,32743.7536,31911.4445,26742.6489,25410.3662,25388.7902,26278.6581,27851.806,26498.6965,26272.4482,28750.9087,28475.399,30258.47,30683.137,27879.884,30712.594,25698.655,24533.942,27784.738,29237.266,30090.845,31303.503,33752.831,33614.235
BHS,Bahamas (the),2763.38028,2819.51498,3318.16198,3662.14704,2889.84926,3524.96221,2973.66294,3282.03409,3524.7757,3306.22541,3113.7596,3176.52321,2614.54645,2037.00602,2115.066629,1885.569086,1986.259672,2164.817041,2295.057606,2514.464888,2575.606026,2507.340844,2197.400199,2091.853062,2266.876456,2596.44958,2923.998901,2820.726183,2693.174737,2528.874179,2359.498613,2464.238017,2474.94917,2792.359452,2825.003377,2769.561691,2856.509006,3060.540267,3141.005913,3179.648932,3441.830865,3729.606943,3735.19775,4108.672194,4170.928138,4338.530382,4404.246626
BHR,Bahrain,2957.76765,2976.47512,3566.1062,4503.3384,5310.1519,5483.0296,5949.974,6567.7191,6953.0635,7419.6664,7522.2199,8053.4396,8490.609,9643.0676,9080.6758,10779.3767,12666.1285,12293.884,12618.118,12518.322,12935.186,12644.032,13181.296,13138.247,13198.003,13316.925,13859.796,14658.257,15536.873,15670.33,15883.393,16619.326,17460.769,17937.65,15136.667,16501.227,16332.417,19044.981,18396.234,18861.686,19236.075,19686.02,19736.138,21396.1457,22478.1763,23861.2807,24458.3843
BGD,Bangladesh,3111.2338,3098.785,3249.0385,3866.883,4135.0211,4917.2507,5275.8546,5399.2795,5806.7844,6472.6775,7300.4582,7104.5057,7717.9277,7261.2418,7574.138,8844.573,9817.517,11062.851,11659.413,12726.855,13475.083,12654.205,14225.102,15057.802,16296.609,19984.193,20289.781,22065.25,22525.157,24029.929,26070.265,30732.365,32450.721,33976.199,34945.528,38285.911,40573.313,44184.934,50245.111,54587.614,59676.09,59686.924,60882.13,63632.915,65735.285,71265.882,74476.23
BRB,Barbados,489.134588,489.2959,544.182088,614.764312,500.426109,644.69815,597.65325,636.053044,685.364942,620.220739,620.044542,647.745375,630.368664,667.704725,771.00818,847.8434,954.46576,1025.07199,938.20502,958.25,962.03043,1012.95927,1009.83901,908.66191,883.85245,906.54989,920.11209,998.32257,1083.3131,1111.7644,1205.5708,1191.414,1186.277,1204.429,1210.0578,1198.5915,1179.5999,1222.4602,1206.3604,1212.932,1267.1452,1342.61111,1325.66032,1443.4151,1460.24672,1512.95143,1541.44733
BLR,Belarus,65071.677,65241.348,70069.005,75919.964,79783.241,88486.293,89763.04,93519.262,95421.807,99943.494,101385.527,105279.844,104806.091,105223.595,103954.411,103773.821,104315.747,103911.765,102743.275,98969.089,108162.7,104317.603,94137.707,81334.609,69450.127,62185.829,63042.032,63394.19,61749.571,59605.984,57807.66,56516.016,56677.23,57260.113,62448.608,63445.216,67971.78,64621.153,67399.311,65077.102,70444.12,65932.039,66846.105,67246.849,66840.17,59729.133,62655.669
BEL,Belgium,139501.72,129278.7,140818.12,145685.26,144529.65,127237.94,136865.17,134299.18,138749.506,148014.5,137114.51,125192.66,117452.424,107747.989,110561.503,108129.719,108707.039,108812.536,111122.801,112205.003,114882.092,119236.774,117541.378,115217.998,120315.36,120538.977,125687.963,122302.004,125337.144,121316.425,122077.872,121732.809,114795.332,122104.703,119144.563,114680.427,112219.671,108498.132,112478.467,101786.93,108418.366,98584.9,93689.694,94914.473,89355.425,93293.472,94722.813
BLZ,Belize,220.995286,218.272668,265.889871,291.744712,273.908232,305.591914,261.431424,314.098635,314.281636,304.895626,338.685574,256.850328,239.743387,244.900171,275.587804,283.99452,377.85955,427.439452,354.388359,426.319772,499.292756,530.966128,499.277198,478.182455,485.395102,502.662048,506.478197,668.646517,616.329567,689.926117,697.372243,820.252355,787.341514,785.67623,803.5191,788.465207,797.875479,826.282471,815.232718,853.262571,947.042194,941.770142,946.186222,1040.695558,1056.520249,1097.489859,1114.10484
BEN,Benin,306.901234,357.07049,456.85409,471.53054,484.04265,543.35153,360.69316,421.67005,448.63181,503.7153,529.2222,439.3488,510.8927,503.5958,517.2673,611.1489,546.7108,496.028,447.37269,393.0773,389.8761,341.523,372.0595,376.6831,382.5479,390.0823,1067.2313,1358.539,1307.68554,1440.08224,1537.8608,1849.1244,2138.1743,2395.3505,2553.1276,2798.6386,3855.5369,4386.6795,4353.0104,4670.6286,5040.4311,5265.6913,5423.6117,5766.4122,6254.1111,6303.0925,6563.7093
BMU,Bermuda,261.215933,261.728346,367.278454,379.951242,328.844229,446.623734,362.317345,407.065856,373.422402,339.771567,368.864346,379.817267,376.731197,432.796507,454.471783,391.47485,409.732647,447.352564,617.425665,745.964887,535.094966,478.665659,386.996504,388.132766,406.318925,414.038586,431.139559,385.018995,374.951,376.56869,432.307571,448.185244,446.527624,465.832956,485.189763,468.82747,465.049792,449.2466,460.327861,465.857731,496.156294,541.290121,542.299779,596.478783,605.508048,629.820352,639.351636
BTN,Bhutan,683.329271,681.758171,531.443652,691.180356,716.505963,704.260836,622.789894,331.080914,664.684871,489.646712,612.051496,607.14828,606.77987,738.60269,683.28933,675.23937,608.44329,558.163,576.56627,651.67905,734.17617,738.56402,677.75059,610.0728,835.78075,742.5851,758.0314,852.4104,819.9941,836.7086,612.451,631.8311,555.2178,548.3791,595.0286,609.1181,676.3766,732.6769,799.7143,1067.6806,1166.1875,1357.8339,1365.1606,1459.91353,1540.58298,1584.85295,1682.0996
BOL,Bolivia (Plurinational State of),2958.8957,3616.7925,4266.885,4004.879,3826.148,4384.238,4940.809,4788.344,5414.802,4913.0076,4845.4953,5183.9687,5453.8387,5570.0059,5158.5221,4934.3937,4692.7477,4889.5942,5156.013,5995.683,6370.99,6613.162,7118.189,8347.944,8979.1,8285.114,8037.698,8748.013,8547.361,8113.697,8202.635,7684.7218,8188.6752,8925.743,9596.8,10307.1174,11097.9219,12040.079,13106.1753,13833.574,15156.088,16421.639,16925.891,17189.838,18657.742,19075.633,19463.728
BIH,Bosnia and Herzegovina,15645.1699,15681.8697,14590.2246,15959.2342,17200.4509,17671.2453,16144.8589,17520.484,17090.576,16757.1728,16553.9728,18967.044,20885.4688,22303.9188,22014.2371,22835.0964,23109.1201,22071.6759,21624.3781,21993.0809,24446.8958,21885.5617,16172.651,13570.7576,3279.6698,3493.9213,4378.5559,8704.5194,11010.8161,10850.918,14228.6322,14039.1271,14784.8346,15128.0679,15981.1393,16762.1012,18632.306,19627.379,21526.109,21433.013,21962.413,24780.346,24340.197,24197.499,24390.197,25455.154,25674.12
BWA,Botswana,110.418302,110.929143,118.056767,124.085266,121.772437,163.202093,676.332316,768.137464,881.70394,941.135144,558.928583,1464.685089,1531.022207,1500.076162,1493.845835,1602.409292,1840.392088,1908.566524,2284.615391,2518.529877,2983.0096,2948.91714,3577.09004,3527.60966,3391.6475,3521.0299,3162.06228,3371.8905,4067.8413,4118.7938,4384.813,4086.4595,4264.7046,4190.5667,4306.0252,4608.0579,4608.4666,4564.7362,4622.9345,4415.8494,5188.6241,4826.9334,5028.1831,5336.5069,6944.565,6688.54454,6438.42888
BRA,Brazil,103571.42,103248.59,112786.47,131210.05,141439.03,149119.88,165888.16,171792.05,185154.98,197178.98,196356.73,182821.54,181892.99,172697.11,174511.23,183633.01,204631.9,209409.83,212965.24,215568.06,215804.25,223081.77,226441.24,234800.97,242230.14,260880.89,282477.74,300751.36,309374.03,318657.58,333189.77,336740.26,336846.39,331027.42,349194.81,351654.97,358618.04,374654.85,394656.9,368792.4,419760.21,437507.65,452526.97,480104.67,504455.73,492986.5,462994.92
